"neighborhood","code_description"
"South Lawndale","Certificate of operation requiered"
"Mount Greenwood","Certificate of operation requiered"
"Logan Square","Certificate of operation requiered"
"Calumet Heights","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"Edgewater","Certificate of operation requiered"
"Hermosa","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"East Garfield Park","Certificate of operation requiered"
"Greater Grand Crossing","Certificate of operation requiered"
"South Shore","Certificate of operation requiered"
"Rogers Park","Certificate of operation requiered"
"West Englewood","Certificate of operation requiered"
"Norwood Park","Certificate of operation requiered"
"Hermosa","Certificate of operation requiered"
"West Pullman","Certificate of operation requiered"
"North Center","Certificate of operation requiered"
"North Lawndale","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"East Side","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"Lincoln Park","Certificate of operation requiered"
"North Lawndale","Certificate of operation requiered"
"Brighton Park","Certificate of operation requiered"
"Ashburn","Certificate of operation requiered"
"Portage Park","Certificate of operation requiered"
"Irving Park","Certificate of operation requiered"
"Brighton Park","Certificate of operation requiered"
"Irving Park","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"Logan Square","Certificate of operation requiered"
"Humboldt Park","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"South Chicago","Certificate of operation requiered"
"Avondale","Certificate of operation requiered"
"Humboldt Park","Certificate of operation requiered"
"West Ridge","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"Archer Heights","Certificate of operation requiered"
"North Lawndale","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"North Lawndale","Certificate of operation requiered"
"Lincoln Square","Certificate of operation requiered"
"Lower West Side","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"Morgan Park","Certificate of operation requiered"
"Armour Square","Certificate of operation requiered"
"Clearing","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"West Pullman","Certificate of operation requiered"
"Irving Park","Certificate of operation requiered"
"Washington Heights","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"Dunning","Certificate of operation requiered"
"Gage Park","Certificate of operation requiered"
"Greater Grand Crossing","Certificate of operation requiered"
"West Garfield Park","Certificate of operation requiered"
"South Chicago","Certificate of operation requiered"
"Lower West Side","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"Humboldt Park","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"South Lawndale","Certificate of operation requiered"
"North Center","Certificate of operation requiered"
"New City","Certificate of operation requiered"
"O'Hare","Certificate of operation requiered"
"North Center","Certificate of operation requiered"
"East Garfield Park","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"Chicago Lawn","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"Clearing","Certificate of operation requiered"
"Washington Heights","Certificate of operation requiered"
"Albany Park","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"Lower West Side","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"Avondale","Certificate of operation requiered"
"Portage Park","Certificate of operation requiered"
"Logan Square","Certificate of operation requiered"
"Humboldt Park","Certificate of operation requiered"
"Bridgeport","Certificate of operation requiered"
"Uptown","Certificate of operation requiered"
"Edgewater","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Edgewater","Certificate of operation requiered"
"Lower West Side","Certificate of operation requiered"
"Norwood Park","Certificate of operation requiered"
"Lincoln Park","Certificate of operation requiered"
"Lake View","Certificate of operation requiered"
"Archer Heights","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"Avondale","Certificate of operation requiered"
"Avondale","Certificate of operation requiered"
"West Ridge","Certificate of operation requiered"
"South Lawndale","Certificate of operation requiered"
"Lincoln Park","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"Norwood Park","Certificate of operation requiered"
"South Chicago","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"New City","Certificate of operation requiered"
"Archer Heights","Certificate of operation requiered"
"Roseland","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"Edgewater","Certificate of operation requiered"
"Greater Grand Crossing","Certificate of operation requiered"
"West Ridge","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"Lake View","Certificate of operation requiered"
"Garfield Ridge","Certificate of operation requiered"
"West Ridge","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"South Shore","Certificate of operation requiered"
"South Lawndale","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"West Town","Certificate of operation requiered"
"Clearing","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"Edgewater","Certificate of operation requiered"
"Humboldt Park","Certificate of operation requiered"
"Logan Square","Certificate of operation requiered"
"Jefferson Park","Certificate of operation requiered"
"Washington Heights","Certificate of operation requiered"
"Lower West Side","Certificate of operation requiered"
"Dunning","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"North Center","Treatment and disposal of solid or liquid waste"
"Fuller Park","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Jefferson Park","Certificate of operation requiered"
"Edison Park","Certificate of operation requiered"
"Albany Park","Certificate of operation requiered"
"Albany Park","Certificate of operation requiered"
"Avondale","Certificate of operation requiered"
"Grand Boulevard","Certificate of operation requiered"
"Garfield Ridge","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Uptown","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Brighton Park","Certificate of operation requiered"
"Near West Side","Certificate of operation requiered"
"Belmont Cragin","Certificate of operation requiered"
"Irving Park","Certificate of operation requiered"
"Chicago Lawn","Certificate of operation requiered"
"Irving Park","Construction site cleanliness"
"Irving Park","Construction site cleanliness"
"West Englewood","Treatment and disposal of solid or liquid waste"
"Belmont Cragin","Construction site cleanliness"
"Belmont Cragin","Construction site cleanliness"
"Ashburn","Treatment and disposal of solid or liquid waste"
"Lake View","Construction site cleanliness"
"Lake View","Construction site cleanliness"
"Lincoln Park","Construction site cleanliness"
"Lincoln Park","Construction site cleanliness"
"Rogers Park","Treatment and disposal of solid or liquid waste"
"Rogers Park","Treatment and disposal of solid or liquid waste"
"Englewood","Treatment and disposal of solid or liquid waste"
"Auburn Gresham","Treatment and disposal of solid or liquid waste"
"Logan Square","Construction site cleanliness"
"West Pullman","Treatment and disposal of solid or liquid waste"
"West Ridge","Construction site cleanliness"
"West Ridge","Construction site cleanliness"
"Lake View","Construction site cleanliness"
"Albany Park","Construction site cleanliness"
"Albany Park","Construction site cleanliness"
"Lower West Side","Treatment and disposal of solid or liquid waste"
"South Lawndale","Treatment and disposal of solid or liquid waste"
"Bridgeport","Treatment and disposal of solid or liquid waste"
"Lower West Side","Treatment and disposal of solid or liquid waste"
"West Englewood","Treatment and disposal of solid or liquid waste"
"Brighton Park","Treatment and disposal of solid or liquid waste"
"Lincoln Square","Treatment and disposal of solid or liquid waste"
"West Garfield Park","Certificate of operation requiered"
"Edgewater","Handling and storage of material susceptible to becoming windborne"
"Bridgeport","Treatment and disposal of solid or liquid waste"
"Irving Park","Treatment and disposal of solid or liquid waste"
"Irving Park","Treatment and disposal of solid or liquid waste"
"Edgewater","Certificate of operation requiered"
"North Park","Treatment and disposal of solid or liquid waste"
"West Town","Treatment and disposal of solid or liquid waste"
"West Town","Construction site cleanliness"
"Rogers Park","Treatment and disposal of solid or liquid waste"
"Rogers Park","Treatment and disposal of solid or liquid waste"
"Lincoln Square","Construction site cleanliness"
"Lincoln Square","Construction site cleanliness"
"Lincoln Square","Construction site cleanliness"
"Logan Square","Handling and storage of material susceptible to becoming windborne"
"Lower West Side","Treatment and disposal of solid or liquid waste"
"North Park","Treatment and disposal of solid or liquid waste"
"Forest Glen","Construction site cleanliness"
"South Shore","Construction site cleanliness"
"Forest Glen","Construction site cleanliness"
"Forest Glen","Treatment and disposal of solid or liquid waste"
"South Shore","Construction site cleanliness"
"Forest Glen","Construction site cleanliness"
"Austin","Construction site cleanliness"
"Austin","Certificate of operation requiered"
"North Center","Construction site cleanliness"
"North Center","Construction site cleanliness"
"West Town","Treatment and disposal of solid or liquid waste"
"West Town","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Belmont Cragin","Handling and storage of material susceptible to becoming windborne"
"Logan Square","Construction site cleanliness"
"Logan Square","Handling and storage of material susceptible to becoming windborne"
"Auburn Gresham","Handling and storage of material susceptible to becoming windborne"
"Auburn Gresham","Treatment and disposal of solid or liquid waste"
"Logan Square","Handling and storage of material susceptible to becoming windborne"
"Lake View","Construction site cleanliness"
"Lake View","Construction site cleanliness"
"Austin","Certificate of operation requiered"
"Lincoln Park","Certificate of operation requiered"
"Austin","Certificate of operation requiered"
"Edgewater","Handling and storage of material susceptible to becoming windborne"
"Logan Square","Construction site cleanliness"
"Logan Square","Construction site cleanliness"
"Lake View","Construction site cleanliness"
"North Lawndale","Treatment and disposal of solid or liquid waste"
"Lake View","Construction site cleanliness"
"Lower West Side","Treatment and disposal of solid or liquid waste"
"Austin","Certificate of operation requiered"
"Humboldt Park","Certificate of operation requiered"
"East Side","Treatment and disposal of solid or liquid waste"
"Near North Side","Construction site cleanliness"
"Archer Heights","Treatment and disposal of solid or liquid waste"
"South Lawndale","Treatment and disposal of solid or liquid waste"
